"filename", "language", "XML", "Java Properties", "Batch", "Java", "YAML", "JSON", "comment", "blank", "total"
"d:\java_project\java-learning-travel-demo\java-ecology\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, -2, 0, 0, 0, 0, -16, -1, -19
"d:\java_project\java-learning-travel-demo\java-ecology\mvnw.cmd", "Batch", 0, 0, -102, 0, 0, 0, -51, -36, -189
"d:\java_project\java-learning-travel-demo\java-ecology\pom.xml", "XML", -38, 0, 0, 0, 0, 0, 0, -4, -42
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\JavaEcologyApplication.java", "Java", 0, 0, 0, -9, 0, 0, 0, -5, -14
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\User.java", "Java", 0, 0, 0, -21, 0, 0, -6, -9, -36
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\ValidationController.java", "Java", 0, 0, 0, -14, 0, 0, -13, -5, -32
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\myValidation\MyNotNull.java", "Java", 0, 0, 0, -13, 0, 0, 0, -7, -20
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\myValidation\MyNotNullValidator.java", "Java", 0, 0, 0, -16, 0, 0, -6, -4, -26
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\CreateXML.java", "Java", 0, 0, 0, -43, 0, 0, -14, -10, -67
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\CreateXMLTest.java", "Java", 0, 0, 0, -7, 0, 0, -6, -2, -15
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\Dependency.java", "Java", 0, 0, 0, -8, 0, 0, -6, -5, -19
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\XMLParser.java", "Java", 0, 0, 0, -36, 0, 0, -10, -5, -51
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\XMLParserTest.java", "Java", 0, 0, 0, -11, 0, 0, -6, -3, -20
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\common\entity\Text.java", "Java", 0, 0, 0, -10, 0, 0, -6, -4, -20
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\common\entity\TranslationResult.java", "Java", 0, 0, 0, -13, 0, 0, -6, -6, -25
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\java_net\HttpURLConnectionDemo.java", "Java", 0, 0, 0, -27, 0, 0, -40, -5, -72
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\okhttp\Client.java", "Java", 0, 0, 0, -20, 0, 0, -6, -5, -31
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\rest_template\RestTemplateDemo.java", "Java", 0, 0, 0, -30, 0, 0, -6, -7, -43
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\GenerateJsonTest.java", "Java", 0, 0, 0, -23, 0, 0, -8, -5, -36
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\Website.java", "Java", 0, 0, 0, -14, 0, 0, -6, -7, -27
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\WebsiteParser.java", "Java", 0, 0, 0, -50, 0, 0, -10, -10, -70
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\WebsiteParserTest.java", "Java", 0, 0, 0, -11, 0, 0, -6, -3, -20
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jmock\FileExport.java", "Java", 0, 0, 0, -9, 0, 0, -6, -2, -17
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jmock\FileReader.java", "Java", 0, 0, 0, -6, 0, 0, -6, -2, -14
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\controller\JpaCategotyController.java", "Java", 0, 0, 0, -26, 0, 0, -6, -8, -40
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\dao\CategoryRepository.java", "Java", 0, 0, 0, -21, 0, 0, -9, -6, -36
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\pojo\JpaCategory.java", "Java", 0, 0, 0, -23, 0, 0, -6, -7, -36
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\service\JpaCategoryService.java", "Java", 0, 0, 0, -21, 0, 0, -6, -8, -35
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\junit\MathUtil.java", "Java", 0, 0, 0, -9, 0, 0, -6, -3, -18
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\junit\StatisticsUtils.java", "Java", 0, 0, 0, -7, 0, 0, -6, -3, -16
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\CustomerExcelUtil.java", "Java", 0, 0, 0, -100, 0, 0, -18, -11, -129
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\controller\CustomerController.java", "Java", 0, 0, 0, -25, 0, 0, -6, -6, -37
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\mapper\CustomerMapper.java", "Java", 0, 0, 0, -9, 0, 0, -6, -3, -18
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\pojo\Customer.java", "Java", 0, 0, 0, -14, 0, 0, -7, -10, -31
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\service\CustomerService.java", "Java", 0, 0, 0, -6, 0, 0, -6, -3, -15
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\service\CustomerServiceImpl.java", "Java", 0, 0, 0, -15, 0, 0, -7, -6, -28
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\rabbitmq\config\RabbitmqConfig.java", "Java", 0, 0, 0, -33, 0, 0, -12, -8, -53
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\rabbitmq\consumer\RabbitmqHandler.java", "Java", 0, 0, 0, -17, 0, 0, -8, -4, -29
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\rabbitmq\controller\ProduceController.java", "Java", 0, 0, 0, -20, 0, 0, -12, -6, -38
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\controller\CategotyController.java", "Java", 0, 0, 0, -22, 0, 0, -6, -7, -35
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\dao\CategaryRepositoryImpl.java", "Java", 0, 0, 0, -29, 0, 0, -6, -8, -43
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\dao\CategoryRepository.java", "Java", 0, 0, 0, -8, 0, 0, -6, -5, -19
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\pojo\Category.java", "Java", 0, 0, 0, -11, 0, 0, -6, -6, -23
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\service\CategoryService.java", "Java", 0, 0, 0, -16, 0, 0, -6, -5, -27
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, -44, 0, -11, -4, -59
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\json\website.json", "JSON", 0, 0, 0, 0, 0, -18, 0, 0, -18
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\mapper\CustomerMapper.xml", "XML", -7, 0, 0, 0, 0, 0, -1, 0, -8
"d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\xml\website.xml", "XML", -12, 0, 0, 0, 0, 0, 0, 0, -12
"d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\JavaEcologyApplicationTests.java", "Java", 0, 0, 0, -9, 0, 0, 0, -5, -14
"d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\http\HttpURLConnectionDemoTest.java", "Java", 0, 0, 0, -12, 0, 0, 0, -2, -14
"d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\http\RestTemplateDemoTest.java", "Java", 0, 0, 0, -16, 0, 0, 0, -4, -20
"d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\jmock\FileExportTest.java", "Java", 0, 0, 0, -20, 0, 0, 0, -3, -23
"d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\junit\MathUtilTest.java", "Java", 0, 0, 0, -35, 0, 0, 0, -8, -43
"d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\junit\StatisticsUtilsTest.java", "Java", 0, 0, 0, -7, 0, 0, 0, -3, -10
"d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\junit\SuiteClassesTest.java", "Java", 0, 0, 0, -3, 0, 0, -8, -2, -13
"d:\java_project\java-learning-travel-demo\java-web\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 2, 0, 0, 0, 0, 16, 1, 19
"d:\java_project\java-learning-travel-demo\java-web\mvnw.cmd", "Batch", 0, 0, 102, 0, 0, 0, 51, 36, 189
"d:\java_project\java-learning-travel-demo\java-web\pom.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 4, 42
"d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\JavaWebApplication.java", "Java", 0, 0, 0, 9, 0, 0, 0, 5, 14
"d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\config\FilterConfig.java", "Java", 0, 0, 0, 10, 0, 0, 13, 5, 28
"d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\cookie\CookieSessionTest.java", "Java", 0, 0, 0, 50, 0, 0, 6, 7, 63
