Date : 2023-06-11 23:26:39
Directory : d:\java_project\java-learning-travel-demo\java-web
Total : 65 files,  -899 codes, -310 comments, -232 blanks, all -1441 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java Properties |          3 |          0 |          0 |          2 |          2 |
| Batch           |          2 |          0 |          0 |          0 |          0 |
| JSON            |          1 |        -18 |          0 |          0 |        -18 |
| XML             |          4 |        -19 |         -1 |          0 |        -20 |
| YAML            |          1 |        -44 |        -11 |         -4 |        -59 |
| Java            |         54 |       -818 |       -298 |       -230 |     -1,346 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         65 |       -899 |       -310 |       -232 |     -1,441 |
| . (Files)                                                                                                                           |          2 |        140 |         51 |         40 |        231 |
| ..                                                                                                                                  |         55 |     -1,148 |       -411 |       -306 |     -1,865 |
| ..\java-ecology                                                                                                                     |         55 |     -1,148 |       -411 |       -306 |     -1,865 |
| ..\java-ecology (Files)                                                                                                             |          2 |       -140 |        -51 |        -40 |       -231 |
| ..\java-ecology\.mvn                                                                                                                |          1 |         -2 |        -16 |         -1 |        -19 |
| ..\java-ecology\.mvn\wrapper                                                                                                        |          1 |         -2 |        -16 |         -1 |        -19 |
| ..\java-ecology\src                                                                                                                 |         52 |     -1,006 |       -344 |       -265 |     -1,615 |
| ..\java-ecology\src\main                                                                                                            |         45 |       -904 |       -336 |       -238 |     -1,478 |
| ..\java-ecology\src\main\java                                                                                                       |         41 |       -823 |       -324 |       -234 |     -1,381 |
| ..\java-ecology\src\main\java\com                                                                                                   |         41 |       -823 |       -324 |       -234 |     -1,381 |
| ..\java-ecology\src\main\java\com\wendy                                                                                             |         41 |       -823 |       -324 |       -234 |     -1,381 |
| ..\java-ecology\src\main\java\com\wendy (Files)                                                                                     |          1 |         -9 |          0 |         -5 |        -14 |
